TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef,SourceTableID
5,A,1997,1997,11,"Agriculture, forestry, fishing, and hunting",1.3,5,5
5,A,1997,1997,111CA,Farms,1.0,5,5
5,A,1997,1997,113FF,"Forestry, fishing, and related activities",0.2,5,5
5,A,1997,1997,21,Mining,1.1,5,5
5,A,1997,1997,211,Oil and gas extraction,0.6,5,5
5,A,1997,1997,212,"Mining, except oil and gas",0.3,5,5
5,A,1997,1997,213,Support activities for mining,0.2,5,5
5,A,1997,1997,22,Utilities,2.0,5,5
5,A,1997,1997,23,Construction,4.0,5,5
5,A,1997,1997,311FT,Food and beverage and tobacco products,1.6,5,5
5,A,1997,1997,313TT,Textile mills and textile product mills,0.3,5,5
5,A,1997,1997,315AL,Apparel and leather and allied products,0.3,5,5
5,A,1997,1997,31G,Manufacturing,16.1,5,5
5,A,1997,1997,31ND,Nondurable goods,6.5,5,5
5,A,1997,1997,321,Wood products,0.3,5,5
5,A,1997,1997,322,Paper products,0.6,5,5
5,A,1997,1997,323,Printing and related support activities,0.4,5,5
5,A,1997,1997,324,Petroleum and coal products,0.6,5,5
5,A,1997,1997,325,Chemical products,2.0,5,5
5,A,1997,1997,326,Plastics and rubber products,0.7,5,5
5,A,1997,1997,327,Nonmetallic mineral products,0.5,5,5
5,A,1997,1997,331,Primary metals,0.6,5,5
5,A,1997,1997,332,Fabricated metal products,1.3,5,5
5,A,1997,1997,333,Machinery,1.2,5,5
5,A,1997,1997,334,Computer and electronic products,2.3,5,5
5,A,1997,1997,335,"Electrical equipment, appliances, and components",0.5,5,5
5,A,1997,1997,3361MV,"Motor vehicles, bodies and trailers, and parts",1.3,5,5
5,A,1997,1997,3364OT,Other transportation equipment,0.7,5,5
5,A,1997,1997,337,Furniture and related products,0.3,5,5
5,A,1997,1997,339,Miscellaneous manufacturing,0.6,5,5
5,A,1997,1997,33DG,Durable goods,9.6,5,5
5,A,1997,1997,42,Wholesale trade,6.2,5,5
5,A,1997,1997,441,Motor vehicle and parts dealers,1.4,5,5
5,A,1997,1997,445,Food and beverage stores,1.1,5,5
5,A,1997,1997,44RT,Retail trade,6.8,5,5
5,A,1997,1997,452,General merchandise stores,0.9,5,5
5,A,1997,1997,481,Air transportation,0.6,5,5
