naics_code,year,industry_label,value_added,gross_output,intermediate_inputs,va_go_ratio
23,1997,Construction,339.6,709.1,369.5,0.4789
23,1998,Construction,379.8,779.6,399.8,0.4872
23,1999,Construction,417.7,841.6,423.9,0.4963
23,2000,Construction,461.2,913.8,452.6,0.5047
23,2001,Construction,486.4,956.8,470.4,0.5084
23,2002,Construction,493.5,969.9,476.3,0.5088
23,2003,Construction,525.2,1039.4,514.2,0.5053
23,2004,Construction,584.6,1158.0,573.4,0.5048
23,2005,Construction,651.6,1287.1,635.5,0.5063
23,2006,Construction,697.1,1353.6,656.6,0.515
23,2007,Construction,715.7,1338.9,623.2,0.5345
23,2008,Construction,649.3,1275.8,626.5,0.5089
23,2009,Construction,565.4,1098.7,533.3,0.5146
23,2010,Construction,525.7,1016.6,490.9,0.5171
23,2011,Construction,525.6,1020.5,494.8,0.515
23,2012,Construction,554.9,1075.5,520.5,0.5159
23,2013,Construction,594.7,1158.8,564.1,0.5132
23,2014,Construction,649.9,1264.7,614.7,0.5139
23,2015,Construction,715.3,1395.5,680.1,0.5126
23,2016,Construction,776.8,1508.6,731.8,0.5149
23,2017,Construction,840.2,1578.0,737.7,0.5324
23,2018,Construction,889.1,1662.0,772.9,0.535
23,2019,Construction,953.0,1732.2,779.2,0.5502
23,2020,Construction,958.7,1804.4,845.7,0.5313
23,2021,Construction,1012.1,1985.6,973.5,0.5097
23,2022,Construction,1112.4,2204.0,1091.6,0.5047
23,2023,Construction,1224.6,2389.0,1164.5,0.5126
23,2024,Construction,1305.4,2511.5,1206.1,0.5198
31-33,1997,Manufacturing,1382.9,3897.8,2514.9,0.3548
31-33,1998,Manufacturing,1430.6,3963.3,2532.7,0.361
31-33,1999,Manufacturing,1489.6,4082.2,2592.6,0.3649
31-33,2000,Manufacturing,1549.8,4290.7,2740.9,0.3612
31-33,2001,Manufacturing,1473.5,4049.5,2575.9,0.3639
31-33,2002,Manufacturing,1468.3,3972.2,2503.8,0.3696
