naics_code,year,industry_label,value_added,comp_employees,gos,topi
23,1997,Construction,339.6,228.6,106.7,4.2
23,1998,Construction,379.8,253.0,122.0,4.8
23,1999,Construction,417.7,278.2,134.3,5.2
23,2000,Construction,461.2,307.7,148.0,5.6
23,2001,Construction,486.4,325.4,155.3,5.7
23,2002,Construction,493.5,327.1,160.4,6.1
23,2003,Construction,525.2,335.8,183.1,6.3
23,2004,Construction,584.6,358.0,219.5,7.2
23,2005,Construction,651.6,387.5,256.1,8.0
23,2006,Construction,697.1,421.3,267.5,8.2
23,2007,Construction,715.7,440.0,267.5,8.3
23,2008,Construction,649.3,433.9,207.5,7.8
23,2009,Construction,565.4,368.4,189.8,7.3
23,2010,Construction,525.7,343.8,174.8,7.2
23,2011,Construction,525.6,347.3,171.1,7.2
23,2012,Construction,554.9,365.9,181.6,7.5
23,2013,Construction,594.7,387.8,199.0,7.9
23,2014,Construction,649.9,422.4,219.2,8.4
23,2015,Construction,715.3,458.5,247.9,8.9
23,2016,Construction,776.8,485.9,281.4,9.5
23,2017,Construction,840.2,520.4,309.7,10.1
23,2018,Construction,889.1,558.3,320.1,10.7
23,2019,Construction,953.0,598.4,343.2,11.3
23,2020,Construction,958.7,597.8,415.3,-54.4
23,2021,Construction,1012.1,636.9,400.8,-25.6
23,2022,Construction,1112.4,694.3,404.5,13.6
23,2023,Construction,1224.6,745.0,465.4,14.1
23,2024,Construction,1305.4,799.3,491.2,14.9
31-33,1997,Manufacturing,1382.9,789.0,552.8,41.1
31-33,1998,Manufacturing,1430.6,834.4,553.7,42.4
31-33,1999,Manufacturing,1489.6,870.2,575.6,43.8
31-33,2000,Manufacturing,1549.8,918.0,584.9,46.9
31-33,2001,Manufacturing,1473.5,881.9,542.6,49.1
31-33,2002,Manufacturing,1468.3,846.5,570.3,51.5
31-33,2003,Manufacturing,1524.0,847.0,623.5,53.5
31-33,2004,Manufacturing,1607.8,873.7,678.1,56.1
31-33,2005,Manufacturing,1692.5,895.5,737.7,59.3
31-33,2006,Manufacturing,1793.5,924.0,808.3,61.3
31-33,2007,Manufacturing,1845.8,943.6,838.2,63.9
31-33,2008,Manufacturing,1799.6,931.9,802.7,65.0
31-33,2009,Manufacturing,1695.8,835.2,785.9,74.8
31-33,2010,Manufacturing,1788.3,847.2,865.5,75.7
31-33,2011,Manufacturing,1863.1,882.4,902.4,78.3
31-33,2012,Manufacturing,1921.3,917.0,925.7,78.6
31-33,2013,Manufacturing,1970.5,931.8,955.3,83.4
31-33,2014,Manufacturing,2009.7,973.0,953.2,83.4
31-33,2015,Manufacturing,2071.1,1006.4,979.9,84.8
31-33,2016,Manufacturing,2035.2,1013.1,937.7,84.4
31-33,2017,Manufacturing,2109.7,1053.4,968.1,88.2
31-33,2018,Manufacturing,2261.8,1101.2,1070.6,90.0
31-33,2019,Manufacturing,2268.8,1129.2,1047.6,92.0
31-33,2020,Manufacturing,2156.8,1114.2,1009.7,32.9
31-33,2021,Manufacturing,2416.3,1177.6,1185.1,53.6
31-33,2022,Manufacturing,2668.2,1254.2,1313.0,101.0
31-33,2023,Manufacturing,2816.5,1306.6,1407.3,102.6
31-33,2024,Manufacturing,2880.7,1359.1,1415.6,106.0
44-45,1997,Retail trade,579.9,339.0,134.7,106.2
44-45,1998,Retail trade,626.9,362.7,152.1,112.0
44-45,1999,Retail trade,652.8,380.6,152.4,119.8
44-45,2000,Retail trade,685.4,405.7,152.9,126.8
44-45,2001,Retail trade,709.4,416.7,159.0,133.7
44-45,2002,Retail trade,732.6,428.5,167.7,136.4
44-45,2003,Retail trade,769.5,444.8,180.0,144.7
44-45,2004,Retail trade,795.5,459.4,180.8,155.3
44-45,2005,Retail trade,840.6,477.7,194.6,168.2
44-45,2006,Retail trade,869.8,492.2,198.7,178.9
44-45,2007,Retail trade,869.4,506.4,182.1,180.9
44-45,2008,Retail trade,851.4,500.9,172.0,178.4
44-45,2009,Retail trade,832.3,474.3,192.3,165.8
44-45,2010,Retail trade,863.5,478.9,206.4,178.2
44-45,2011,Retail trade,883.6,495.7,201.0,187.0
44-45,2012,Retail trade,923.4,510.1,218.8,194.4
44-45,2013,Retail trade,979.7,526.7,248.3,204.7
44-45,2014,Retail trade,1018.2,545.5,259.1,213.7
44-45,2015,Retail trade,1081.2,573.6,291.4,216.1
44-45,2016,Retail trade,1133.2,587.7,323.3,222.3
44-45,2017,Retail trade,1178.9,606.9,339.6,232.4
44-45,2018,Retail trade,1223.6,628.2,353.3,242.1
44-45,2019,Retail trade,1277.6,651.9,370.0,255.7
44-45,2020,Retail trade,1335.2,669.2,455.3,210.7
44-45,2021,Retail trade,1537.4,748.0,537.9,251.5
44-45,2022,Retail trade,1647.8,786.8,536.8,324.3
44-45,2023,Retail trade,1779.6,822.8,631.2,325.6
44-45,2024,Retail trade,1849.0,846.1,664.7,338.2
51,1997,Information,394.1,169.0,194.1,31.0
51,1998,Information,434.6,189.5,212.1,33.0
51,1999,Information,485.3,219.6,229.5,36.1
51,2000,Information,471.2,246.0,186.3,38.9
51,2001,Information,502.3,247.2,211.7,43.3
51,2002,Information,550.5,228.4,278.0,44.1
51,2003,Information,564.8,230.5,289.5,44.8
51,2004,Information,620.3,238.0,335.8,46.5
51,2005,Information,642.0,241.5,352.1,48.4
51,2006,Information,651.9,248.8,354.6,48.6
51,2007,Information,707.5,260.5,399.0,48.0
51,2008,Information,743.8,257.8,441.4,44.6
51,2009,Information,721.4,251.5,426.0,43.9
51,2010,Information,754.9,248.6,462.0,44.3
51,2011,Information,763.0,260.1,457.8,45.1
51,2012,Information,762.7,271.6,445.9,45.3
51,2013,Information,835.5,286.5,502.2,46.8
51,2014,Information,848.8,304.4,495.5,48.9
51,2015,Information,913.1,318.7,539.3,55.2
51,2016,Information,974.9,329.0,589.7,56.1
51,2017,Information,1010.0,348.8,602.7,58.6
51,2018,Information,1041.5,376.8,602.4,62.3
51,2019,Information,1142.6,400.2,678.8,63.7
51,2020,Information,1181.8,425.7,702.4,53.7
51,2021,Information,1312.6,508.6,747.0,57.0
51,2022,Information,1383.5,517.1,798.3,68.1
51,2023,Information,1491.3,541.1,880.6,69.6
51,2024,Information,1592.7,593.2,933.6,65.9
52,1997,Finance and insurance,577.2,314.9,235.3,27.0
52,1998,Finance and insurance,637.9,350.4,259.7,27.8
52,1999,Finance and insurance,674.4,375.5,269.5,29.3
52,2000,Finance and insurance,744.4,411.9,302.3,30.2
52,2001,Finance and insurance,800.3,445.3,326.6,28.5
52,2002,Finance and insurance,809.1,443.3,335.1,30.6
52,2003,Finance and insurance,843.2,459.8,350.8,32.6
52,2004,Finance and insurance,873.2,497.7,339.4,36.1
52,2005,Finance and insurance,977.5,534.6,404.3,38.6
