TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
15,A,1997,1997,11,"Agriculture, forestry, fishing, and hunting",257.9,15
15,A,1997,1997,111CA,Farms,219.4,15
15,A,1997,1997,113FF,"Forestry, fishing, and related activities",38.5,15
15,A,1997,1997,21,Mining,177.2,15
15,A,1997,1997,211,Oil and gas extraction,98.8,15
15,A,1997,1997,212,"Mining, except oil and gas",56.4,15
15,A,1997,1997,213,Support activities for mining,22.1,15
15,A,1997,1997,22,Utilities,262.1,15
15,A,1997,1997,23,Construction,709.1,15
15,A,1997,1997,311FT,Food and beverage and tobacco products,531.8,15
15,A,1997,1997,313TT,Textile mills and textile product mills,89.1,15
15,A,1997,1997,315AL,Apparel and leather and allied products,87.2,15
15,A,1997,1997,31G,Manufacturing,3897.8,15
15,A,1997,1997,31ND,Nondurable goods,1708.2,15
15,A,1997,1997,321,Wood products,88.6,15
15,A,1997,1997,322,Paper products,149.3,15
15,A,1997,1997,323,Printing and related support activities,98.4,15
15,A,1997,1997,324,Petroleum and coal products,175.8,15
15,A,1997,1997,325,Chemical products,417.6,15
15,A,1997,1997,326,Plastics and rubber products,159.0,15
15,A,1997,1997,327,Nonmetallic mineral products,85.9,15
15,A,1997,1997,331,Primary metals,168.3,15
15,A,1997,1997,332,Fabricated metal products,243.7,15
15,A,1997,1997,333,Machinery,269.1,15
15,A,1997,1997,334,Computer and electronic products,461.1,15
15,A,1997,1997,335,"Electrical equipment, appliances, and components",111.2,15
15,A,1997,1997,3361MV,"Motor vehicles, bodies and trailers, and parts",431.9,15
15,A,1997,1997,3364OT,Other transportation equipment,155.6,15
15,A,1997,1997,337,Furniture and related products,63.6,15
15,A,1997,1997,339,Miscellaneous manufacturing,110.6,15
15,A,1997,1997,33DG,Durable goods,2189.6,15
15,A,1997,1997,42,Wholesale trade,747.1,15
15,A,1997,1997,441,Motor vehicle and parts dealers,174.7,15
15,A,1997,1997,445,Food and beverage stores,129.4,15
15,A,1997,1997,44RT,Retail trade,857.3,15
15,A,1997,1997,452,General merchandise stores,116.5,15
15,A,1997,1997,481,Air transportation,114.1,15
15,A,1997,1997,482,Rail transportation,38.2,15
15,A,1997,1997,483,Water transportation,24.4,15
15,A,1997,1997,484,Truck transportation,162.0,15
15,A,1997,1997,485,Transit and ground passenger transportation,24.3,15
15,A,1997,1997,486,Pipeline transportation,24.2,15
15,A,1997,1997,487OS,Other transportation and support activities,85.5,15
15,A,1997,1997,48TW,Transportation and warehousing,499.0,15
15,A,1997,1997,493,Warehousing and storage,26.3,15
15,A,1997,1997,4A0,Other retail,436.7,15
15,A,1997,1997,51,Information,730.6,15
15,A,1997,1997,511,"Publishing industries, except internet (includes software)",190.8,15
15,A,1997,1997,512,Motion picture and sound recording industries,89.5,15
15,A,1997,1997,513,Broadcasting and telecommunications,404.1,15
15,A,1997,1997,514,"Data processing, internet publishing, and other information services",46.2,15
15,A,1997,1997,52,Finance and insurance,1005.9,15
15,A,1997,1997,521CI,"Federal Reserve banks, credit intermediation, and related activities",393.8,15
15,A,1997,1997,523,"Securities, commodity contracts, and investments",206.0,15
15,A,1997,1997,524,Insurance carriers and related activities,350.0,15
15,A,1997,1997,525,"Funds, trusts, and other financial vehicles",56.1,15
15,A,1997,1997,53,Real estate and rental and leasing,1406.0,15
15,A,1997,1997,531,Real estate,1256.1,15
15,A,1997,1997,532RL,Rental and leasing services and lessors of intangible assets,149.9,15
15,A,1997,1997,54,"Professional, scientific, and technical services",799.8,15
15,A,1997,1997,5411,Legal services,155.6,15
15,A,1997,1997,5412OP,"Miscellaneous professional, scientific, and technical services",520.3,15
15,A,1997,1997,5415,Computer systems design and related services,123.9,15
15,A,1997,1997,55,Management of companies and enterprises,195.2,15
15,A,1997,1997,56,Administrative and waste management services,350.9,15
15,A,1997,1997,561,Administrative and support services,308.9,15
15,A,1997,1997,562,Waste management and remediation services,42.0,15
15,A,1997,1997,6,"Educational services, health care, and social assistance",929.2,15
15,A,1997,1997,61,Educational services,113.1,15
15,A,1997,1997,62,Health care and social assistance,816.1,15
15,A,1997,1997,621,Ambulatory health care services,388.0,15
15,A,1997,1997,622,Hospitals,271.3,15
15,A,1997,1997,623,Nursing and residential care facilities,95.2,15
15,A,1997,1997,624,Social assistance,61.6,15
15,A,1997,1997,7,"Arts, entertainment, recreation, accommodation, and food services",550.9,15
15,A,1997,1997,71,"Arts, entertainment, and recreation",127.4,15
15,A,1997,1997,711AS,"Performing arts, spectator sports, museums, and related activities",59.3,15
15,A,1997,1997,713,"Amusements, gambling, and recreation industries",68.1,15
15,A,1997,1997,72,Accommodation and food services,423.5,15
15,A,1997,1997,721,Accommodation,116.5,15
15,A,1997,1997,722,Food services and drinking places,307.0,15
15,A,1997,1997,81,"Other services, except government",352.1,15
15,A,1997,1997,FIRE,"Finance, insurance, real estate, rental, and leasing",2411.8,15
15,A,1997,1997,G,Government,1665.7,15
15,A,1997,1997,GF,Federal,542.1,15
15,A,1997,1997,GFE,Government enterprises,76.9,15
15,A,1997,1997,GFG,General government,465.1,15
15,A,1997,1997,GFGD,National defense,304.9,15
15,A,1997,1997,GFGN,Nondefense,160.3,15
15,A,1997,1997,GSL,State and local,1123.7,15
15,A,1997,1997,GSLE,Government enterprises,130.2,15
15,A,1997,1997,GSLG,General government,993.5,15
15,A,1997,1997,HS,Housing,857.9,15
15,A,1997,1997,ICT,Information-communications-technology-producing industries<sup>3</sup>,993.7,15;15.3.A
15,A,1997,1997,II,All industries,15393.6,15
15,A,1997,1997,ORE,Other real estate,398.2,15
15,A,1997,1997,PGOOD,Private goods-producing industries<sup>1</sup>,5042.0,15;15.1.A
15,A,1997,1997,PROF,Professional and business services,1345.8,15
15,A,1997,1997,PSERV,Private services-producing industries<sup>2</sup>,8685.9,15;15.2.A
15,A,1997,1997,PVT,Private industries,13727.9,15
15,A,1998,1998,11,"Agriculture, forestry, fishing, and hunting",249.8,15
15,A,1998,1998,111CA,Farms,207.8,15
15,A,1998,1998,113FF,"Forestry, fishing, and related activities",41.9,15
15,A,1998,1998,21,Mining,151.9,15
15,A,1998,1998,211,Oil and gas extraction,72.9,15
15,A,1998,1998,212,"Mining, except oil and gas",55.5,15
15,A,1998,1998,213,Support activities for mining,23.4,15
15,A,1998,1998,22,Utilities,267.9,15
15,A,1998,1998,23,Construction,779.6,15
15,A,1998,1998,311FT,Food and beverage and tobacco products,540.2,15
15,A,1998,1998,313TT,Textile mills and textile product mills,87.7,15
15,A,1998,1998,315AL,Apparel and leather and allied products,79.0,15
15,A,1998,1998,31G,Manufacturing,3963.3,15
15,A,1998,1998,31ND,Nondurable goods,1683.7,15
15,A,1998,1998,321,Wood products,91.8,15
15,A,1998,1998,322,Paper products,153.2,15
15,A,1998,1998,323,Printing and related support activities,101.0,15
15,A,1998,1998,324,Petroleum and coal products,136.7,15
15,A,1998,1998,325,Chemical products,422.4,15
15,A,1998,1998,326,Plastics and rubber products,163.6,15
15,A,1998,1998,327,Nonmetallic mineral products,91.7,15
15,A,1998,1998,331,Primary metals,166.7,15
15,A,1998,1998,332,Fabricated metal products,254.5,15
15,A,1998,1998,333,Machinery,277.5,15
15,A,1998,1998,334,Computer and electronic products,464.7,15
15,A,1998,1998,335,"Electrical equipment, appliances, and components",114.5,15
15,A,1998,1998,3361MV,"Motor vehicles, bodies and trailers, and parts",449.7,15
15,A,1998,1998,3364OT,Other transportation equipment,184.0,15
15,A,1998,1998,337,Furniture and related products,68.4,15
15,A,1998,1998,339,Miscellaneous manufacturing,116.2,15
15,A,1998,1998,33DG,Durable goods,2279.6,15
15,A,1998,1998,42,Wholesale trade,772.1,15
15,A,1998,1998,441,Motor vehicle and parts dealers,174.7,15
15,A,1998,1998,445,Food and beverage stores,133.5,15
15,A,1998,1998,44RT,Retail trade,891.8,15
15,A,1998,1998,452,General merchandise stores,123.0,15
15,A,1998,1998,481,Air transportation,115.4,15
15,A,1998,1998,482,Rail transportation,38.1,15
15,A,1998,1998,483,Water transportation,24.5,15
15,A,1998,1998,484,Truck transportation,174.0,15
15,A,1998,1998,485,Transit and ground passenger transportation,26.5,15
15,A,1998,1998,486,Pipeline transportation,24.1,15
15,A,1998,1998,487OS,Other transportation and support activities,95.6,15
15,A,1998,1998,48TW,Transportation and warehousing,527.0,15
15,A,1998,1998,493,Warehousing and storage,28.6,15
15,A,1998,1998,4A0,Other retail,460.7,15
15,A,1998,1998,51,Information,808.5,15
15,A,1998,1998,511,"Publishing industries, except internet (includes software)",214.1,15
15,A,1998,1998,512,Motion picture and sound recording industries,96.9,15
15,A,1998,1998,513,Broadcasting and telecommunications,446.8,15
15,A,1998,1998,514,"Data processing, internet publishing, and other information services",50.8,15
15,A,1998,1998,52,Finance and insurance,1113.1,15
15,A,1998,1998,521CI,"Federal Reserve banks, credit intermediation, and related activities",429.9,15
15,A,1998,1998,523,"Securities, commodity contracts, and investments",243.9,15
15,A,1998,1998,524,Insurance carriers and related activities,373.8,15
15,A,1998,1998,525,"Funds, trusts, and other financial vehicles",65.4,15
15,A,1998,1998,53,Real estate and rental and leasing,1497.5,15
