TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
20,A,1997,1997,11,"Agriculture, forestry, fishing, and hunting",149.2,20
20,A,1997,1997,111CA,Farms,131.2,20
20,A,1997,1997,113FF,"Forestry, fishing, and related activities",18.0,20
20,A,1997,1997,21,Mining,82.2,20
20,A,1997,1997,211,Oil and gas extraction,43.7,20
20,A,1997,1997,212,"Mining, except oil and gas",29.9,20
20,A,1997,1997,213,Support activities for mining,8.6,20
20,A,1997,1997,22,Utilities,90.6,20
20,A,1997,1997,23,Construction,369.5,20
20,A,1997,1997,311FT,Food and beverage and tobacco products,396.6,20
20,A,1997,1997,313TT,Textile mills and textile product mills,61.7,20
20,A,1997,1997,315AL,Apparel and leather and allied products,62.0,20
20,A,1997,1997,31G,Manufacturing,2514.9,20
20,A,1997,1997,31ND,Nondurable goods,1149.1,20
20,A,1997,1997,321,Wood products,61.8,20
20,A,1997,1997,322,Paper products,93.9,20
20,A,1997,1997,323,Printing and related support activities,60.9,20
20,A,1997,1997,324,Petroleum and coal products,128.3,20
20,A,1997,1997,325,Chemical products,244.2,20
20,A,1997,1997,326,Plastics and rubber products,101.4,20
20,A,1997,1997,327,Nonmetallic mineral products,46.1,20
20,A,1997,1997,331,Primary metals,120.2,20
20,A,1997,1997,332,Fabricated metal products,133.7,20
20,A,1997,1997,333,Machinery,166.9,20
20,A,1997,1997,334,Computer and electronic products,265.8,20
20,A,1997,1997,335,"Electrical equipment, appliances, and components",64.4,20
20,A,1997,1997,3361MV,"Motor vehicles, bodies and trailers, and parts",319.9,20
20,A,1997,1997,3364OT,Other transportation equipment,93.1,20
20,A,1997,1997,337,Furniture and related products,35.6,20
20,A,1997,1997,339,Miscellaneous manufacturing,58.4,20
20,A,1997,1997,33DG,Durable goods,1365.8,20
20,A,1997,1997,42,Wholesale trade,219.6,20
20,A,1997,1997,441,Motor vehicle and parts dealers,56.2,20
20,A,1997,1997,445,Food and beverage stores,38.5,20
20,A,1997,1997,44RT,Retail trade,277.4,20
20,A,1997,1997,452,General merchandise stores,36.7,20
20,A,1997,1997,481,Air transportation,59.4,20
