series_code,year,value,industry_label,naics_code
N4012C,1998,253007.0,Construction,23
N4012C,1999,278246.0,Construction,23
N4012C,2000,307654.0,Construction,23
N4012C,2001,325444.0,Construction,23
N4012C,2002,327111.0,Construction,23
N4012C,2003,335793.0,Construction,23
N4012C,2004,357958.0,Construction,23
N4012C,2005,387531.0,Construction,23
N4012C,2006,421295.0,Construction,23
N4012C,2007,439998.0,Construction,23
N4012C,2008,433948.0,Construction,23
N4012C,2009,368352.0,Construction,23
N4012C,2010,343763.0,Construction,23
N4012C,2011,347303.0,Construction,23
N4012C,2012,365908.0,Construction,23
N4012C,2013,387823.0,Construction,23
N4012C,2014,422384.0,Construction,23
N4012C,2015,458477.0,Construction,23
N4012C,2016,485888.0,Construction,23
N4012C,2017,520422.0,Construction,23
N4012C,2018,558275.0,Construction,23
N4012C,2019,598437.0,Construction,23
N4012C,2020,597775.0,Construction,23
N4012C,2021,636908.0,Construction,23
N4012C,2022,694310.0,Construction,23
N4012C,2023,744986.0,Construction,23
N4012C,2024,799308.0,Construction,23
N4013C,1998,834443.0,Manufacturing,31-33
N4013C,1999,870204.0,Manufacturing,31-33
N4013C,2000,918025.0,Manufacturing,31-33
N4013C,2001,881895.0,Manufacturing,31-33
N4013C,2002,846528.0,Manufacturing,31-33
N4013C,2003,846989.0,Manufacturing,31-33
N4013C,2004,873695.0,Manufacturing,31-33
N4013C,2005,895469.0,Manufacturing,31-33
N4013C,2006,923977.0,Manufacturing,31-33
N4013C,2007,943645.0,Manufacturing,31-33
N4013C,2008,931892.0,Manufacturing,31-33
N4013C,2009,835178.0,Manufacturing,31-33
N4013C,2010,847169.0,Manufacturing,31-33
N4013C,2011,882357.0,Manufacturing,31-33
N4013C,2012,916945.0,Manufacturing,31-33
N4013C,2013,931827.0,Manufacturing,31-33
N4013C,2014,973018.0,Manufacturing,31-33
N4013C,2015,1006425.0,Manufacturing,31-33
N4013C,2016,1013141.0,Manufacturing,31-33
N4013C,2017,1053399.0,Manufacturing,31-33
N4013C,2018,1101197.0,Manufacturing,31-33
N4013C,2019,1129240.0,Manufacturing,31-33
N4013C,2020,1114185.0,Manufacturing,31-33
N4013C,2021,1177634.0,Manufacturing,31-33
N4013C,2022,1254194.0,Manufacturing,31-33
N4013C,2023,1306605.0,Manufacturing,31-33
N4013C,2024,1359135.0,Manufacturing,31-33
N4040C,1998,362715.0,Retail trade,44-45
N4040C,1999,380569.0,Retail trade,44-45
N4040C,2000,405728.0,Retail trade,44-45
N4040C,2001,416660.0,Retail trade,44-45
N4040C,2002,428467.0,Retail trade,44-45
N4040C,2003,444839.0,Retail trade,44-45
N4040C,2004,459351.0,Retail trade,44-45
N4040C,2005,477741.0,Retail trade,44-45
N4040C,2006,492172.0,Retail trade,44-45
N4040C,2007,506389.0,Retail trade,44-45
N4040C,2008,500927.0,Retail trade,44-45
N4040C,2009,474257.0,Retail trade,44-45
N4040C,2010,478915.0,Retail trade,44-45
N4040C,2011,495664.0,Retail trade,44-45
N4040C,2012,510117.0,Retail trade,44-45
N4040C,2013,526663.0,Retail trade,44-45
N4040C,2014,545470.0,Retail trade,44-45
N4040C,2015,573627.0,Retail trade,44-45
N4040C,2016,587666.0,Retail trade,44-45
N4040C,2017,606868.0,Retail trade,44-45
N4040C,2018,628161.0,Retail trade,44-45
N4040C,2019,651874.0,Retail trade,44-45
N4040C,2020,669240.0,Retail trade,44-45
N4040C,2021,747994.0,Retail trade,44-45
N4040C,2022,786793.0,Retail trade,44-45
N4040C,2023,822820.0,Retail trade,44-45
N4040C,2024,846090.0,Retail trade,44-45
N4054C,1998,189515.0,Information,51
N4054C,1999,219617.0,Information,51
N4054C,2000,245982.0,Information,51
N4054C,2001,247207.0,Information,51
N4054C,2002,228422.0,Information,51
N4054C,2003,230520.0,Information,51
N4054C,2004,238018.0,Information,51
N4054C,2005,241485.0,Information,51
N4054C,2006,248790.0,Information,51
N4054C,2007,260485.0,Information,51
N4054C,2008,257826.0,Information,51
N4054C,2009,251503.0,Information,51
N4054C,2010,248567.0,Information,51
N4054C,2011,260147.0,Information,51
N4054C,2012,271577.0,Information,51
N4054C,2013,286473.0,Information,51
N4054C,2014,304390.0,Information,51
N4054C,2015,318675.0,Information,51
N4054C,2016,329035.0,Information,51
N4054C,2017,348773.0,Information,51
N4054C,2018,376835.0,Information,51
N4054C,2019,400177.0,Information,51
N4054C,2020,425668.0,Information,51
