series_code,year,value,industry_label,naics_code
N1803C,1998,85148.0,Construction,23
N1803C,1999,100852.0,Construction,23
N1803C,2000,111822.0,Construction,23
N1803C,2001,122968.0,Construction,23
N1803C,2002,131007.0,Construction,23
N1803C,2003,139091.0,Construction,23
N1803C,2004,151248.0,Construction,23
N1803C,2005,157729.0,Construction,23
N1803C,2006,173523.0,Construction,23
N1803C,2007,147382.0,Construction,23
N1803C,2008,110031.0,Construction,23
N1803C,2009,110011.0,Construction,23
N1803C,2010,140140.0,Construction,23
N1803C,2011,145545.0,Construction,23
N1803C,2012,157598.0,Construction,23
N1803C,2013,159183.0,Construction,23
N1803C,2014,168042.0,Construction,23
N1803C,2015,172911.0,Construction,23
N1803C,2016,174767.0,Construction,23
N1803C,2017,185791.0,Construction,23
N1803C,2018,185275.0,Construction,23
N1803C,2019,199066.0,Construction,23
N1803C,2020,196511.0,Construction,23
N1803C,2021,203037.0,Construction,23
N1803C,2022,208149.0,Construction,23
N1803C,2023,231775.0,Construction,23
N1803C,2024,246068.0,Construction,23
N1804C,1998,17173.0,Manufacturing,31-33
N1804C,1999,17041.0,Manufacturing,31-33
N1804C,2000,18449.0,Manufacturing,31-33
N1804C,2001,16999.0,Manufacturing,31-33
N1804C,2002,17824.0,Manufacturing,31-33
N1804C,2003,16250.0,Manufacturing,31-33
N1804C,2004,22677.0,Manufacturing,31-33
N1804C,2005,23537.0,Manufacturing,31-33
N1804C,2006,27553.0,Manufacturing,31-33
N1804C,2007,25161.0,Manufacturing,31-33
N1804C,2008,16907.0,Manufacturing,31-33
N1804C,2009,9664.0,Manufacturing,31-33
N1804C,2010,15748.0,Manufacturing,31-33
N1804C,2011,22293.0,Manufacturing,31-33
N1804C,2012,24785.0,Manufacturing,31-33
N1804C,2013,26837.0,Manufacturing,31-33
N1804C,2014,26437.0,Manufacturing,31-33
N1804C,2015,29991.0,Manufacturing,31-33
N1804C,2016,18638.0,Manufacturing,31-33
N1804C,2017,19823.0,Manufacturing,31-33
N1804C,2018,24065.0,Manufacturing,31-33
N1804C,2019,26377.0,Manufacturing,31-33
N1804C,2020,33652.0,Manufacturing,31-33
N1804C,2021,56070.0,Manufacturing,31-33
N1804C,2022,53944.0,Manufacturing,31-33
N1804C,2023,58794.0,Manufacturing,31-33
N1804C,2024,57757.0,Manufacturing,31-33
N1808C,1998,46650.0,Retail trade,44-45
N1808C,1999,50893.0,Retail trade,44-45
N1808C,2000,51025.0,Retail trade,44-45
N1808C,2001,53362.0,Retail trade,44-45
N1808C,2002,55975.0,Retail trade,44-45
N1808C,2003,59187.0,Retail trade,44-45
N1808C,2004,61117.0,Retail trade,44-45
N1808C,2005,64121.0,Retail trade,44-45
N1808C,2006,71478.0,Retail trade,44-45
N1808C,2007,57476.0,Retail trade,44-45
N1808C,2008,35902.0,Retail trade,44-45
N1808C,2009,48364.0,Retail trade,44-45
N1808C,2010,63947.0,Retail trade,44-45
