TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef,SourceTable
FAAt602,kcptotl1es00,1,Private fixed assets,1925,Fisher Quantity Index,Level,0,10.686,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1926,Fisher Quantity Index,Level,0,11.123,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1927,Fisher Quantity Index,Level,0,11.514,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1928,Fisher Quantity Index,Level,0,11.876,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1929,Fisher Quantity Index,Level,0,12.194,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1930,Fisher Quantity Index,Level,0,12.351,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1931,Fisher Quantity Index,Level,0,12.350,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1932,Fisher Quantity Index,Level,0,12.221,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1933,Fisher Quantity Index,Level,0,12.064,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1934,Fisher Quantity Index,Level,0,11.961,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1935,Fisher Quantity Index,Level,0,11.918,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1936,Fisher Quantity Index,Level,0,11.964,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1937,Fisher Quantity Index,Level,0,12.069,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1938,Fisher Quantity Index,Level,0,12.103,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1939,Fisher Quantity Index,Level,0,12.195,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1940,Fisher Quantity Index,Level,0,12.351,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1941,Fisher Quantity Index,Level,0,12.557,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1942,Fisher Quantity Index,Level,0,12.542,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1943,Fisher Quantity Index,Level,0,12.449,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1944,Fisher Quantity Index,Level,0,12.417,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1945,Fisher Quantity Index,Level,0,12.477,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1946,Fisher Quantity Index,Level,0,12.842,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1947,Fisher Quantity Index,Level,0,13.383,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1948,Fisher Quantity Index,Level,0,13.984,FAAt602,FAAt602
FAAt602,kcptotl1es00,1,Private fixed assets,1949,Fisher Quantity Index,Level,0,14.464,FAAt602,FAAt602
