naics_code,industry_group,mean_laborgollin_all_labor,mean_capitalgollin_all_labor,mean_laborgollin_proportional,mean_capitalgollin_proportional,mean_labornonprofit_adjusted,mean_capitalnonprofit_adjusted,mean_laborraw,mean_capitalraw
23,construction,.86934602,.13065396,.83432096,.16567901,.63947487,.35199946,.63947487,.35199946
31-33,manufacturing,.52652997,.47347003,.5203892,.4796108,.51533461,.44882533,.51533461,.44882533
44-45,retail,.61057079,.38942924,.59332341,.40667659,.54481786,.26112711,.54481786,.26112711
51,information,.40364182,.59635818,.38947311,.61052692,.3817133,.55474418,.3817133,.55474418
52,finance,.5922699,.40773013,.57504445,.42495558,.54793864,.41113442,.54793864,.41113442
54,professional,.83980405,.16019596,.81143004,.18856995,.66915244,.30578065,.66915244,.30578065
61,education,,,,,.78805542,.17386274,.78805542,.17386274
61-62,educ_health,,,,,.80909365,.17093332,.80909365,.17093332
62,healthcare_total,.90935332,.090646707,.90164518,.098354787,.81265998,.17030901,.81265998,.17030901
621,ambulatory,,,,,.76748335,.22309914,.76748335,.22309914
622,hospitals,,,,,.9129169,.087083124,.83478606,.13933299
623,nursing,,,,,.91011471,.056567844,.91011471,.056567844
624,social_assistance,,,,,.85762197,.13559909,.85762197,.13559909
private,private_industries,,,,,.50175476,.42240152,.50175476,.42240152
total,total_economy,,,,,.53922039,.39617744,.53922039,.39617744
